Name,Rating,Reviews,Price Category,Category,Address,Price Level (1-4),Closing Time,Review Snippet,Order Options
Shaburi & Kintan Buffet Paragon Mall Semarang,4.9,1275.0,Rp 250.000+,Umum,Jl. Pemuda No.118 Lt 2,4,22.00,"Mantap, menunya enak enak, staff ramah dan helpful","Pesan Online, Reservasi Tempat"
Nasi Pindang Kudus & Soto Sapi Gajahmada - Semarang,4.4,2798.0,Rp 25–50 rb,Indonesia,Jl. MH Thamrin No.40 Depot simpel dengan menu soto daging,1,22.00,"Nasi pindang sapi nya enak, daging empuk, kuah nya juga maksimal rasanya.",Pesan Online
Kayo Coffee and Eatery,4.8,718.0,Rp 50–75 rb,Umum,Jl. Melati Selatan No.8A,2,00.00,Pilihan menunya variatif tapi masih affordable!,Pesan Online
The Savoury at J.R.Raynaldi Building,4.8,2443.0,Rp 50–175 rb,Umum,Jl. Papandayan No.2H,2,15.00,"Tempatnya nyaman n cozy, menu pilihan makanan banyak, service nya bagus.",Pesan Online
Kala Senja,4.5,1025.0,Rp 50–75 rb,Umum,Jl. Sumbing No.2A,2,23.00,"makanan enak, view keren, vibe nyaman.",Pesan Online
Chandra Medan,4.4,807.0,Rp 25–50 rb,China,Jl. Depok No.14B,1,14.30,"Nasi campurnyq enak, tapi potongan dagingnya kecil2.",Datang Langsung
Llauk Restaurant Semarang,4.6,507.0,Rp 50–75 rb,Indonesia,Jl. Singosari Raya No.34,2,22.00,Harganya agak pricey tapi makanan dan minumannya worth the price bgt!,Datang Langsung
Wingstop Paragon Mall,4.7,731.0,Rp 25–50 rb,Umum,Jl. Pemuda No.118,1,22.00,"Menunya enak enak, harganya afforfable.",Pesan Online
Marugame Udon Paragon Mall Semarang,4.6,1726.0,Rp 50–75 rb,Jepang,Jl. Pemuda No.118 Lt 2 Unit 18,2,22.00,Kuah curry nya enak banget gurih sedap.,Pesan Online
Yakiniku Like DP Mall Semarang,4.9,1569.0,Rp 75–150 rb,Jepang,Jl. Pemuda No.150 Ground Floor,2,22.00,"Dagingnya enak, servicenya bagus, tempatnya comfy.",Pesan Online
